"id","title","author","issue","volume","venue","page","pub_date","type","publisher","editor"
"meta:br/060209 doi:10.4230/lipics.approx/random.2020.19","Distributed Testing Of Graph Isomorphism In The CONGEST Model","Levi, Reut [meta:ra/0610110096 orcid:0000-0003-3167-1766]; Medina, Moti [meta:ra/0612046435 orcid:0000-0002-5572-3754]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605251]","Byrka, Jarosław [meta:ra/069044096 orcid:0000-0002-3387-0913]; Raghu Meka [meta:ra/0605252]"
"meta:br/060100 isbn:9780203417447 isbn:9780203449899 doi:10.3109/9780203417447 doi:10.4324/9780203417447","Shoulder Surgery:","Wulker, Nikolaus [meta:ra/0604250]; Mansat, Michel [meta:ra/0604251]; Fu, Freddie H. [meta:ra/0604252]; Fu, Freddie H [meta:ra/06709889787]","","","","","2000-10-12","reference book","Informa Uk Limited [meta:ra/0610116005 crossref:301]","Wülker, Nikolaus [meta:ra/0604253]"
"meta:br/060562 doi:10.4230/lipics.disc.2020.38","Distributed Planar Reachability In Nearly Optimal Time","Parter, Merav [meta:ra/0606449]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606450]","Attiya, Hagit [meta:ra/0614045824 orcid:0000-0002-8017-6457]"
"meta:br/060629 doi:10.4230/lipics.ecoop.2020.15","Static Analysis Of Shape In TensorFlow Programs","Lagouvardos, Sifis [meta:ra/0606692]; Dolby, Julian [meta:ra/0606693]; Grech, Neville [meta:ra/0606694]; Antoniadis, Anastasios [meta:ra/0606695]; Smaragdakis, Yannis [meta:ra/0606696]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606697]","Hirschfeld, Robert [meta:ra/06220110568 orcid:0000-0002-4249-6003]; Pape, Tobias [meta:ra/064027235 orcid:0000-0003-0110-6918]"
"meta:br/060593 doi:10.4230/lipics.disc.2021.49","Brief Announcement: Local Certification Of Graph Decompositions And Applications To Minor-Free Classes","Bousquet, Nicolas [meta:ra/0617014559 orcid:0000-0003-0170-0503]; Feuilloley, Laurent [meta:ra/0612046191 orcid:0000-0002-3994-0898]; Pierron, Théo [meta:ra/069067049 orcid:0000-0002-5586-5613]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606581]","Gilbert, Seth [meta:ra/0606582]"
"meta:br/060406 doi:10.4230/lipics.concur.2021.14","A Unifying Framework For Deciding Synchronizability","Bollig, Benedikt [meta:ra/061302242620 orcid:0000-0003-0985-6115]; Di Giusto, Cinzia [meta:ra/0615095743 orcid:0000-0003-1563-6581]; Finkel, Alain [meta:ra/065044252 orcid:0000-0003-0702-3232]; Laversa, Laetitia [meta:ra/0615095744 orcid:0000-0003-3775-6496]; Lozes, Etienne [meta:ra/0615095745 orcid:0000-0001-8505-585X]; Suresh, Amrita [meta:ra/061302242621 orcid:0000-0001-6819-9093]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606000]","Haddad, Serge [meta:ra/06407027331 orcid:0000-0002-1759-1201]; Varacca, Daniele [meta:ra/0606001]"
"meta:br/06030 doi:10.1002/(sici)1097-0215(20000115)85:2<298::aid-ijc24>3.0.co;2-l","A Study Of HTLV-I Infection And Breast Cancers In Trinidad And Tobago","Jack, Noreen [meta:ra/060159]; Edwards, Jeffrey [meta:ra/060160]; Dhanessar, William [meta:ra/060161]; Benjamin, Hess [meta:ra/060162]; Bartholomew, Courtenay [meta:ra/060163]","2","85","International Journal Of Cancer [meta:br/0622015443 issn:0020-7136 doi:10.1002/(issn)1097-0215 issn:1097-0215]","298-299","2000-01-15","journal article","Wiley [meta:ra/0610116001 crossref:311]",""
"meta:br/06043 doi:10.1002/1522-239x(200205)113:1/2<107::aid-fedr107>3.0.co;2-1","Studies In Erysiphales Anamorphs (II):Colutea Arborescens, A New Host forErysiphe Palczewskii","Schmidt, A. [meta:ra/060222]; Scholler, M. [meta:ra/060223]","1-2","113","Feddes Repertorium [meta:br/069039310 issn:0014-8962 issn:0374-6577 issn:1522-239X doi:10.1002/(issn)1522-239x]","107-111","2002-05","journal article","Wiley [meta:ra/0610116001 crossref:311]",""
"meta:br/060970 doi:10.4230/lipics.icalp.2020.12","Improved Bounds For Matching In Random-Order Streams","Bernstein, Aaron [meta:ra/0607632]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607633]","Artur Czumaj [meta:ra/0607590 orcid:0000-0002-7743-438X]; Dawar, Anuj [meta:ra/067073847 orcid:0000-0003-4014-8248]; Merelli, Emanuela [meta:ra/068015430 orcid:0000-0002-1321-4134]"
"meta:br/060951 doi:10.4230/lipics.giscience.2021.ii.6","Bicriteria Aggregation Of Polygons Via Graph Cuts","Rottmann, Peter [meta:ra/0607577]; Driemel, Anne [meta:ra/06104747264 orcid:0000-0002-1943-2589]; Haverkort, Herman [meta:ra/0607578]; Röglin, Heiko [meta:ra/0607579]; Haunert, Jan-Henrik [meta:ra/067010085 orcid:0000-0001-8005-943X]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607580]","Janowicz, Krzysztof [meta:ra/0607581]; Verstegen, Judith Anne [meta:ra/0623011098 orcid:0000-0002-9082-4323]"
"meta:br/060258 doi:10.4230/lipics.approx/random.2021.20","Approximation Algorithms For Demand Strip Packing","Gálvez, Waldo [meta:ra/0616077199 orcid:0000-0002-6395-3322]; Grandoni, Fabrizio [meta:ra/06802771872 orcid:0000-0002-9676-4931]; Ameli, Afrouz Jabal [meta:ra/0605461]; Khodamoradi, Kamyar [meta:ra/061206161131 orcid:0000-0003-1289-6839]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605462]","Wootters, Mary [meta:ra/0624053021 orcid:0000-0002-2345-2531]; Sanità, Laura [meta:ra/0690108433 orcid:0000-0002-6384-1857]"
"meta:br/060712 doi:10.4230/lipics.esa.2020.28","New Binary Search Tree Bounds Via Geometric Inversions","Chalermsook, Parinya [meta:ra/0606930]; Jiamjitrak, Wanchote Po [meta:ra/0606931]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606932]","Grandoni, Fabrizio [meta:ra/06802771872 orcid:0000-0002-9676-4931]; Herman, Grzegorz [meta:ra/0622087885 orcid:0000-0001-6855-8316]; Sanders, Peter [meta:ra/0619054475 orcid:0000-0003-3330-9349]"
"meta:br/060176 issn:2747-4607 issn:2747-4623","Präsenz Und Implizites Wissen","","","","","","","book series","",""
"meta:br/060885 doi:10.4230/lipics.fscd.2021.5","The Expressive Power Of One Variable Used Once: The Chomsky Hierarchy And First-Order Monadic Constructor Rewriting","Simonsen, Jakob Grue [meta:ra/0607396]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607397]","Kobayashi, Naoki [meta:ra/0615033524 orcid:0000-0002-0537-0604]"
"meta:br/060721 doi:10.4230/lipics.esa.2020.37","Approximation Algorithms For Clustering With Dynamic Points","Deng, Shichuan [meta:ra/0606955]; Li, Jian [meta:ra/0606956]; Rabani, Yuval [meta:ra/0606957]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606958]","Grandoni, Fabrizio [meta:ra/06802771872 orcid:0000-0002-9676-4931]; Herman, Grzegorz [meta:ra/0622087885 orcid:0000-0001-6855-8316]; Sanders, Peter [meta:ra/0619054475 orcid:0000-0003-3330-9349]"
"meta:br/060586 doi:10.4230/lipics.disc.2021.35","VBR: Version Based Reclamation","Sheffi, Gali [meta:ra/0606547]; Herlihy, Maurice [meta:ra/0606548]; Petrank, Erez [meta:ra/0606549]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606550]","Gilbert, Seth [meta:ra/0606551]"
"meta:br/06084 doi:10.1201/b12413 doi:10.4324/9780203017869 isbn:9780203017869","Principles Of Enhanced Heat Transfer","Webb, Ralph L. [meta:ra/0603398]; Kim, Nae-Hyun [meta:ra/0603399]","","","","","2004-12-15","reference book","Informa Uk Limited [meta:ra/0610116005 crossref:301]",""
"meta:br/060313 doi:10.4230/lipics.ccc.2020.3","Super Strong ETH Is True For PPSZ With Small Resolution Width","Scheder, Dominik [meta:ra/0605676 orcid:0000-0002-9360-7957]; Talebanfard, Navid [meta:ra/0619054452 orcid:0000-0002-3524-9282]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605677]","Shubhangi Saraf [meta:ra/0605678]"
"meta:br/060530 doi:10.4230/lipics.csl.2021.29","A Cyclic Proof System For HFL_N","Kori, Mayuko [meta:ra/06909282916 orcid:0000-0002-8495-5925]; Tsukada, Takeshi [meta:ra/0613089848 orcid:0000-0002-2824-8708]; Kobayashi, Naoki [meta:ra/0615033524 orcid:0000-0002-0537-0604]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606357]","Baier, Christel [meta:ra/067062032 orcid:0000-0002-5321-9343]; Goubault-Larrecq, Jean [meta:ra/0624014097 orcid:0000-0001-5879-3304]"
"meta:br/060512 doi:10.4230/lipics.cpm.2021.9","Constructing Strings Avoiding Forbidden Substrings","Bernardini, Giulia [meta:ra/062035276 orcid:0000-0001-6647-088X]; Marchetti-Spaccamela, Alberto [meta:ra/0606317]; Pissis, Solon [meta:ra/0617010529 orcid:0000-0002-1445-1932]; Stougie, Leen [meta:ra/0606318]; Sweering, Michelle [meta:ra/0606319]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606320]","Gawrychowski, Paweł [meta:ra/0612046159 orcid:0000-0002-6993-5440]; Starikovskaya, Tatiana [meta:ra/0606321]"
"meta:br/060798 doi:10.4230/lipics.esa.2021.47","Computing The 4-Edge-Connected Components Of A Graph In Linear Time","Georgiadis, Loukas [meta:ra/0614045823 orcid:0000-0002-9706-7409]; Italiano, Giuseppe F [meta:ra/063027931 orcid:0000-0002-9492-9894]; Kosinas, Evangelos [meta:ra/0607155]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607156]","Mutzel, Petra [meta:ra/0613010730 orcid:0000-0001-7621-971X]; Pagh, Rasmus [meta:ra/065093548 orcid:0000-0002-1516-9306]; Herman, Grzegorz [meta:ra/0622087885 orcid:0000-0001-6855-8316]"
"meta:br/060790 doi:10.4230/lipics.esa.2021.37","Faster 3-Coloring Of Small-Diameter Graphs","Dębski, Michał [meta:ra/0607136]; Piecyk, Marta [meta:ra/0604396 orcid:0000-0001-9162-8300]; Rzaͅżewski, Paweł [meta:ra/0617014773 orcid:0000-0001-7696-3848]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607137]","Mutzel, Petra [meta:ra/0613010730 orcid:0000-0001-7621-971X]; Pagh, Rasmus [meta:ra/065093548 orcid:0000-0002-1516-9306]; Herman, Grzegorz [meta:ra/0622087885 orcid:0000-0001-6855-8316]"
"meta:br/060734 doi:10.4230/lipics.esa.2020.51","An Algorithmic Meta-Theorem For Graph Modification To Planarity And FOL","Fomin, Fedor [meta:ra/0617014921 orcid:0000-0003-1955-4612]; Golovach, Petr A. [meta:ra/0606984]; Stamoulis, Giannos [meta:ra/0606985]; Thilikos, Dimitrios M. [meta:ra/0606986]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606987]","Grandoni, Fabrizio [meta:ra/06802771872 orcid:0000-0002-9676-4931]; Herman, Grzegorz [meta:ra/0622087885 orcid:0000-0001-6855-8316]; Sanders, Peter [meta:ra/0619054475 orcid:0000-0003-3330-9349]"
"meta:br/060807 doi:10.4230/lipics.esa.2021.57","Convex Drawings Of Hierarchical Graphs In Linear Time, With Applications To Planar Graph Morphing","Klemz, Boris [meta:ra/0623096589 orcid:0000-0002-4532-3765]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607175]","Mutzel, Petra [meta:ra/0613010730 orcid:0000-0001-7621-971X]; Pagh, Rasmus [meta:ra/065093548 orcid:0000-0002-1516-9306]; Herman, Grzegorz [meta:ra/0622087885 orcid:0000-0001-6855-8316]"
"meta:br/060952 doi:10.4230/lipics.giscience.2021.ii.7","Coordinated Schematization For Visualizing Mobility Patterns On Networks","Custers, Bram [meta:ra/0607582 orcid:0000-0001-9342-319X]; Meulemans, Wouter [meta:ra/0622094498 orcid:0000-0002-4978-3400]; Speckmann, Bettina [meta:ra/061509404 orcid:0000-0002-8514-7858]; Verbeek, K. [meta:ra/0621074868 orcid:0000-0003-3052-4844]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607583]","Janowicz, Krzysztof [meta:ra/0607584]; Verstegen, Judith Anne [meta:ra/0623011098 orcid:0000-0002-9082-4323]"
"meta:br/060419 doi:10.4230/lipics.concur.2021.26","Arena-Independent Finite-Memory Determinacy In Stochastic Games","Bouyer, Patricia [meta:ra/06210100505 orcid:0000-0002-2823-0911]; Oualhadj, Youssouf [meta:ra/0606039 orcid:0000-0003-0200-4032]; Randour, Mickael [meta:ra/0606040]; Vandenhove, Pierre [meta:ra/0606041 orcid:0000-0001-5834-1068]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606042]","Haddad, Serge [meta:ra/06407027331 orcid:0000-0002-1759-1201]; Varacca, Daniele [meta:ra/0606043]"
"meta:br/060682 doi:10.4230/lipics.ecrts.2020.6","Nested, But Separate: Isolating Unrelated Critical Sections In Real-Time Nested Locking","Robb, James [meta:ra/0606837]; Brandenburg, Björn B. [meta:ra/0606838]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606839]","Völp, Marcus [meta:ra/063054017 orcid:0000-0002-8020-4446]"
"meta:br/060423 doi:10.4230/lipics.concur.2021.3","Inclusion Testing Of Büchi Automata Based On Well-Quasiorders","Doveri, Kyveli [meta:ra/06909282929 orcid:0000-0001-9403-2860]; Ganty, Pierre [meta:ra/06507231009 orcid:0000-0002-3625-6003]; Parolini, Francesco [meta:ra/06502623929 orcid:0000-0002-1077-7812]; Ranzato, Francesco [meta:ra/0616066534 orcid:0000-0003-0159-0068]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606055]","Haddad, Serge [meta:ra/06407027331 orcid:0000-0002-1759-1201]; Varacca, Daniele [meta:ra/0606056]"
"meta:br/060595 doi:10.4230/lipics.disc.2021.50","Brief Announcement: Memory Efficient Massively Parallel Algorithms For LCL Problems On Trees","Brandt, Sebastian [meta:ra/062602386051 orcid:0000-0001-5393-6636]; Latypov, Rustam [meta:ra/0606587 orcid:0000-0001-7124-3067]; Uitto, Jara [meta:ra/0622086397 orcid:0000-0002-5179-5056]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606588]","Gilbert, Seth [meta:ra/0606589]"
"meta:br/060526 doi:10.4230/lipics.csl.2021.25","Categorifying Non-Idempotent Intersection Types","Guerrieri, Giulio [meta:ra/064027190 orcid:0000-0002-0469-4279]; Olimpieri, Federico [meta:ra/0606351 orcid:0000-0003-1485-5360]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606352]","Baier, Christel [meta:ra/067062032 orcid:0000-0002-5321-9343]; Goubault-Larrecq, Jean [meta:ra/0624014097 orcid:0000-0001-5879-3304]"
"meta:br/060772 doi:10.4230/lipics.esa.2021.15","Lyndon Words Accelerate Suffix Sorting","Bertram, Nico [meta:ra/0607081]; Ellert, Jonas [meta:ra/0614097954 orcid:0000-0003-3305-6185]; Fischer, Johannes [meta:ra/0607082]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607083]","Mutzel, Petra [meta:ra/0613010730 orcid:0000-0001-7621-971X]; Pagh, Rasmus [meta:ra/065093548 orcid:0000-0002-1516-9306]; Herman, Grzegorz [meta:ra/0622087885 orcid:0000-0001-6855-8316]"
"meta:br/060553 doi:10.4230/lipics.disc.2020.22","Singularly Optimal Randomized Leader Election","Kutten, Shay [meta:ra/0606413 orcid:0000-0003-2062-6855]; Moses, William K. [meta:ra/0614099414 orcid:0000-0002-4533-7593]; Pandurangan, Gopal [meta:ra/0606414 orcid:0000-0001-5833-6592]; Peleg, David [meta:ra/0623038177 orcid:0000-0003-1590-0506]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606415]","Attiya, Hagit [meta:ra/0614045824 orcid:0000-0002-8017-6457]"
"meta:br/060439 doi:10.4230/lipics.cp.2021.14","Combining Monte Carlo Tree Search And Depth First Search Methods For A Car Manufacturing Workshop Scheduling Problem","Antuori, Valentin [meta:ra/0606108]; Hebrard, Emmanuel [meta:ra/0617014613 orcid:0000-0003-3131-0709]; Huguet, Marie-José [meta:ra/0606109]; Essodaigui, Siham [meta:ra/0606110]; Nguyen, Alain [meta:ra/0606111]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606112]","Michel, Laurent D. [meta:ra/0606095 orcid:0000-0001-7230-7130]"
"meta:br/060537 doi:10.4230/lipics.csl.2021.36","Degrees Of Ambiguity For Parity Tree Automata","Rabinovich, Alexander [meta:ra/06107860 orcid:0000-0002-1460-2358]; Tiferet, Doron [meta:ra/0606371]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606372]","Baier, Christel [meta:ra/067062032 orcid:0000-0002-5321-9343]; Goubault-Larrecq, Jean [meta:ra/0624014097 orcid:0000-0001-5879-3304]"
"meta:br/060765 doi:10.4230/lipics.esa.2020.9","Improved Bounds For Metric Capacitated Covering Problems","Bandyapadhyay, Sayan [meta:ra/0610110072 orcid:0000-0001-8875-0102]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607057]","Grandoni, Fabrizio [meta:ra/06802771872 orcid:0000-0002-9676-4931]; Herman, Grzegorz [meta:ra/0622087885 orcid:0000-0001-6855-8316]; Sanders, Peter [meta:ra/0619054475 orcid:0000-0003-3330-9349]"
"meta:br/060104 doi:10.4324/9780203477540 isbn:9780203235775 doi:10.4324/noe0419229100 isbn:9780203477540","Water Pollution Control","Helmer, Richard [meta:ra/0604277]; Hespanhol, Ivanildo [meta:ra/0604278]","","","","","2017-10-02","reference book","Informa Uk Limited [meta:ra/0610116005 crossref:301]","Helmer, Richard [meta:ra/0604279]; Hespanhol, Ivanildo [meta:ra/0604280]"
"meta:br/060800 doi:10.4230/lipics.esa.2021.49","Faster (1+ε)-Approximation For Unsplittable Flow On A Path Via Resource Augmentation And Back","Grandoni, Fabrizio [meta:ra/06802771872 orcid:0000-0002-9676-4931]; Mömke, Tobias [meta:ra/0610110091 orcid:0000-0002-2509-6972]; Wiese, Andreas [meta:ra/066013110 orcid:0000-0003-3705-016X]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607163]","Mutzel, Petra [meta:ra/0613010730 orcid:0000-0001-7621-971X]; Pagh, Rasmus [meta:ra/065093548 orcid:0000-0002-1516-9306]; Herman, Grzegorz [meta:ra/0622087885 orcid:0000-0001-6855-8316]"
"meta:br/060658 doi:10.4230/lipics.ecoop.2021.18","Refinements Of Futures Past: Higher-Order Specification With Implicit Refinement Types","Tondwalkar, Anish [meta:ra/0606770]; Kolosick, Matthew [meta:ra/0606771]; Jhala, Ranjit [meta:ra/0606772]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606773]","Sridharan, Manu [meta:ra/062601404 orcid:0000-0001-7993-302X]; Møller, Anders [meta:ra/062601467 orcid:0000-0003-1333-2314]"
"meta:br/060811 doi:10.4230/lipics.esa.2021.60","Telescoping Filter: A Practical Adaptive Filter","Lee, David J. [meta:ra/0607190]; McCauley, Samuel [meta:ra/0607191]; Singh, Shikha [meta:ra/0607192]; Stein, Max [meta:ra/0607193]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607194]","Mutzel, Petra [meta:ra/0613010730 orcid:0000-0001-7621-971X]; Pagh, Rasmus [meta:ra/065093548 orcid:0000-0002-1516-9306]; Herman, Grzegorz [meta:ra/0622087885 orcid:0000-0001-6855-8316]"
"meta:br/060730 doi:10.4230/lipics.esa.2020.47","Coresets For The Nearest-Neighbor Rule","Flores-Velazco, Alejandro [meta:ra/062502588552 orcid:0000-0003-0868-9802]; Mount, David M. [meta:ra/065061917 orcid:0000-0002-3290-8932]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606977]","Grandoni, Fabrizio [meta:ra/06802771872 orcid:0000-0002-9676-4931]; Herman, Grzegorz [meta:ra/0622087885 orcid:0000-0001-6855-8316]; Sanders, Peter [meta:ra/0619054475 orcid:0000-0003-3330-9349]"
"meta:br/06046 doi:10.15405/epsbs(2357-1330).2020.3.2 doi:10.15405/epsbs(2357-1330).2019.12.4 issn:2357-1330 doi:10.15405/epsbs(2357-1330).2018.12.1 doi:10.15405/epsbs(2357-1330).2020.10.5 doi:10.15405/epsbs(2357-1330).2019.9.2 doi:10.15405/epsbs(2357-1330).2017.8.2 doi:10.15405/epsbs(2357-1330).2017.1","The European Proceedings Of Social And Behavioural Sciences","","","","","","","series","Cognitive-crcs [meta:ra/0640115479 crossref:6078]",""
"meta:br/060417 doi:10.4230/lipics.concur.2021.24","A Temporal Logic For Strategic Hyperproperties","Beutner, Raven [meta:ra/061108423221 orcid:0000-0001-6234-5651]; Finkbeiner, Bernd [meta:ra/0617071853 orcid:0000-0002-4280-8441]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606032]","Haddad, Serge [meta:ra/06407027331 orcid:0000-0002-1759-1201]; Varacca, Daniele [meta:ra/0606033]"
"meta:br/060538 doi:10.4230/lipics.csl.2021.37","On Flat Lossy Channel Machines","Schnoebelen, Philippe [meta:ra/0606373 orcid:0000-0001-8180-2686]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606374]","Baier, Christel [meta:ra/067062032 orcid:0000-0002-5321-9343]; Goubault-Larrecq, Jean [meta:ra/0624014097 orcid:0000-0001-5879-3304]"
"meta:br/06031 doi:10.1002/(sici)1097-0215(20000115)85:2<253::aid-ijc17>3.0.co;2-u","CD4+, HLA Class I-restricted, Cytolytic T-lymphocyte Clone Against Primary Malignant Melanoma Cells","Somasundaram, Rajasekharan [meta:ra/0690346 orcid:0000-0002-8444-8472]; Robbins, Paul [meta:ra/060164]; Moonka, Dilip [meta:ra/060165]; Loh, Elwyn [meta:ra/060166]; Marincola, Francesco [meta:ra/060167]; Patel, Amy [meta:ra/060168]; Guerry, DuPont [meta:ra/060169]; Herlyn, Dorothee [meta:ra/060170]","2","85","International Journal Of Cancer [meta:br/0622015443 issn:0020-7136 doi:10.1002/(issn)1097-0215 issn:1097-0215]","253-259","2000-01-15","journal article","Wiley [meta:ra/0610116001 crossref:311]",""
"meta:br/060774 doi:10.4230/lipics.esa.2021.18","Near-Optimal Deterministic Single-Source Distance Sensitivity Oracles","Bilò, Davide [meta:ra/0612046056 orcid:0000-0003-3169-4300]; Cohen, Sarel [meta:ra/0607089]; Friedrich, Tobias [meta:ra/0626019949 orcid:0000-0003-0076-6308]; Schirneck, Martin [meta:ra/0607090]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607091]","Mutzel, Petra [meta:ra/0613010730 orcid:0000-0001-7621-971X]; Pagh, Rasmus [meta:ra/065093548 orcid:0000-0002-1516-9306]; Herman, Grzegorz [meta:ra/0622087885 orcid:0000-0001-6855-8316]"
"meta:br/060155 issn:2372-3939 doi:10.1201/crcsercelcli","Series In Cellular And Clinical Imaging","","","","","","","book series","Informa Uk Limited [meta:ra/0610116005 crossref:301]",""
"meta:br/060191 doi:10.4230/lipics.aofa.2020.17","Hidden Words Statistics For Large Patterns","Janson, Svante [meta:ra/062406068 orcid:0000-0002-9680-2790]; Szpankowski, Wojciech [meta:ra/061070698 orcid:0000-0001-9062-0067]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0605197]","Michael Drmota [meta:ra/0605187 orcid:0000-0002-6876-6569]; Heuberger, Clemens [meta:ra/0612046279 orcid:0000-0003-0082-7334]"
"meta:br/060113 isbn:9781444391633 doi:10.1111/b.9781405131612.2008.x doi:10.1002/9781444391633 isbn:9781405131612","A Companion To Latin American History","","","","","","2010-11-29","reference book","Wiley [meta:ra/0610116001 crossref:311]","Holloway, Thomas H. [meta:ra/0604287]"
"meta:br/060495 doi:10.4230/lipics.cpm.2020.9","Dynamic String Alignment","Charalampopoulos, Panagiotis [meta:ra/0612046171 orcid:0000-0002-6024-1557]; Kociumaka, Tomasz [meta:ra/0612046305 orcid:0000-0002-2477-1702]; Mozes, Shay [meta:ra/0614045777 orcid:0000-0001-9262-1821]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606264]","Gørtz, Inge Li [meta:ra/063027818 orcid:0000-0002-8322-4952]; Weimann, Oren [meta:ra/0612046045 orcid:0000-0002-4510-7552]"
"meta:br/060551 doi:10.4230/lipics.disc.2020.17","Classification Of Distributed Binary Labeling Problems","Balliu, Alkida [meta:ra/061603429477 orcid:0000-0001-5293-8365]; Brandt, Sebastian [meta:ra/062602386051 orcid:0000-0001-5393-6636]; Efron, Yuval [meta:ra/0606407 orcid:0000-0003-0882-9342]; Hirvonen, Juho [meta:ra/0606408 orcid:0000-0001-8268-1070]; Maus, Yannic [meta:ra/061105546345 orcid:0000-0003-4062-6991]; Olivetti, Dennis [meta:ra/061603429479 orcid:0000-0002-6600-6443]; Suomela, Jukka [meta:ra/0614045829 orcid:0000-0001-6117-8089]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0606409]","Attiya, Hagit [meta:ra/0614045824 orcid:0000-0002-8017-6457]"
